risk_factor,associated_condition,weight,is_modifiable,risk_type,recommended_action
Radiation Exposure,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Radiation Exposure,Hormonal Disorder,High,No,Medical,Immediate Attention
Radiation Exposure,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Heart Disease,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Heart Disease,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Heart Disease,High,No,Medical,Immediate Attention
Drug Abuse,Heart Disease,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Diabetes,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Diabetes,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Diabetes,High,No,Medical,Immediate Attention
Drug Abuse,Diabetes,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Hypertension,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Hypertension,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Hypertension,High,No,Medical,Immediate Attention
Drug Abuse,Hypertension,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Stroke,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Stroke,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Stroke,High,No,Medical,Immediate Attention
Drug Abuse,Stroke,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Kidney Disease,High,No,Medical,Immediate Attention
Drug Abuse,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Liver Disease,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Liver Disease,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Liver Disease,High,No,Medical,Immediate Attention
Drug Abuse,Liver Disease,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Respiratory Disorder,High,No,Medical,Immediate Attention
Drug Abuse,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Cancer,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Cancer,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Cancer,High,No,Medical,Immediate Attention
Drug Abuse,Cancer,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Obesity,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Obesity,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Obesity,High,No,Medical,Immediate Attention
Drug Abuse,Obesity,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Depression,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Depression,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Depression,High,No,Medical,Immediate Attention
Drug Abuse,Depression,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Anxiety,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Anxiety,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Anxiety,High,No,Medical,Immediate Attention
Drug Abuse,Anxiety,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Infection Risk,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Infection Risk,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Infection Risk,High,No,Medical,Immediate Attention
Drug Abuse,Infection Risk,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Metabolic Disorder,High,No,Medical,Immediate Attention
Drug Abuse,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Autoimmune Disease,High,No,Medical,Immediate Attention
Drug Abuse,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Drug Abuse,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Drug Abuse,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Drug Abuse,Hormonal Disorder,High,No,Medical,Immediate Attention
Drug Abuse,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Heart Disease,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Heart Disease,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Heart Disease,High,No,Medical,Immediate Attention
Mental Health Disorder,Heart Disease,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Diabetes,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Diabetes,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Diabetes,High,No,Medical,Immediate Attention
Mental Health Disorder,Diabetes,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Hypertension,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Hypertension,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Hypertension,High,No,Medical,Immediate Attention
Mental Health Disorder,Hypertension,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Stroke,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Stroke,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Stroke,High,No,Medical,Immediate Attention
Mental Health Disorder,Stroke,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Kidney Disease,High,No,Medical,Immediate Attention
Mental Health Disorder,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Liver Disease,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Liver Disease,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Liver Disease,High,No,Medical,Immediate Attention
Mental Health Disorder,Liver Disease,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Respiratory Disorder,High,No,Medical,Immediate Attention
Mental Health Disorder,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Cancer,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Cancer,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Cancer,High,No,Medical,Immediate Attention
Mental Health Disorder,Cancer,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Obesity,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Obesity,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Obesity,High,No,Medical,Immediate Attention
Mental Health Disorder,Obesity,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Depression,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Depression,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Depression,High,No,Medical,Immediate Attention
Mental Health Disorder,Depression,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Anxiety,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Anxiety,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Anxiety,High,No,Medical,Immediate Attention
Mental Health Disorder,Anxiety,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Infection Risk,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Infection Risk,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Infection Risk,High,No,Medical,Immediate Attention
Mental Health Disorder,Infection Risk,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Metabolic Disorder,High,No,Medical,Immediate Attention
Mental Health Disorder,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Autoimmune Disease,High,No,Medical,Immediate Attention
Mental Health Disorder,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Mental Health Disorder,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Mental Health Disorder,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Mental Health Disorder,Hormonal Disorder,High,No,Medical,Immediate Attention
Mental Health Disorder,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Heart Disease,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Heart Disease,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Heart Disease,High,No,Medical,Immediate Attention
Physical Inactivity,Heart Disease,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Diabetes,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Diabetes,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Diabetes,High,No,Medical,Immediate Attention
Physical Inactivity,Diabetes,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Hypertension,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Hypertension,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Hypertension,High,No,Medical,Immediate Attention
Physical Inactivity,Hypertension,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Stroke,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Stroke,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Stroke,High,No,Medical,Immediate Attention
Physical Inactivity,Stroke,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Kidney Disease,High,No,Medical,Immediate Attention
Physical Inactivity,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Liver Disease,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Liver Disease,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Liver Disease,High,No,Medical,Immediate Attention
Physical Inactivity,Liver Disease,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Respiratory Disorder,High,No,Medical,Immediate Attention
Physical Inactivity,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Cancer,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Cancer,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Cancer,High,No,Medical,Immediate Attention
Physical Inactivity,Cancer,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Obesity,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Obesity,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Obesity,High,No,Medical,Immediate Attention
Physical Inactivity,Obesity,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Depression,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Depression,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Depression,High,No,Medical,Immediate Attention
Physical Inactivity,Depression,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Anxiety,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Anxiety,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Anxiety,High,No,Medical,Immediate Attention
Physical Inactivity,Anxiety,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Infection Risk,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Infection Risk,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Infection Risk,High,No,Medical,Immediate Attention
Physical Inactivity,Infection Risk,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Metabolic Disorder,High,No,Medical,Immediate Attention
Physical Inactivity,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Autoimmune Disease,High,No,Medical,Immediate Attention
Physical Inactivity,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Physical Inactivity,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Physical Inactivity,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Physical Inactivity,Hormonal Disorder,High,No,Medical,Immediate Attention
Physical Inactivity,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Heart Disease,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Heart Disease,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Heart Disease,High,No,Medical,Immediate Attention
Excess Screen Time,Heart Disease,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Diabetes,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Diabetes,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Diabetes,High,No,Medical,Immediate Attention
Excess Screen Time,Diabetes,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Hypertension,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Hypertension,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Hypertension,High,No,Medical,Immediate Attention
Excess Screen Time,Hypertension,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Stroke,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Stroke,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Stroke,High,No,Medical,Immediate Attention
Excess Screen Time,Stroke,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Kidney Disease,High,No,Medical,Immediate Attention
Excess Screen Time,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Liver Disease,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Liver Disease,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Liver Disease,High,No,Medical,Immediate Attention
Excess Screen Time,Liver Disease,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Respiratory Disorder,High,No,Medical,Immediate Attention
Excess Screen Time,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Cancer,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Cancer,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Cancer,High,No,Medical,Immediate Attention
Excess Screen Time,Cancer,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Obesity,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Obesity,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Obesity,High,No,Medical,Immediate Attention
Excess Screen Time,Obesity,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Depression,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Depression,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Depression,High,No,Medical,Immediate Attention
Excess Screen Time,Depression,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Anxiety,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Anxiety,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Anxiety,High,No,Medical,Immediate Attention
Excess Screen Time,Anxiety,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Infection Risk,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Infection Risk,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Infection Risk,High,No,Medical,Immediate Attention
Excess Screen Time,Infection Risk,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Metabolic Disorder,High,No,Medical,Immediate Attention
Excess Screen Time,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Autoimmune Disease,High,No,Medical,Immediate Attention
Excess Screen Time,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Excess Screen Time,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Excess Screen Time,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Excess Screen Time,Hormonal Disorder,High,No,Medical,Immediate Attention
Excess Screen Time,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Heart Disease,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Heart Disease,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Heart Disease,High,No,Medical,Immediate Attention
High Caffeine Intake,Heart Disease,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Diabetes,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Diabetes,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Diabetes,High,No,Medical,Immediate Attention
High Caffeine Intake,Diabetes,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Hypertension,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Hypertension,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Hypertension,High,No,Medical,Immediate Attention
High Caffeine Intake,Hypertension,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Stroke,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Stroke,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Stroke,High,No,Medical,Immediate Attention
High Caffeine Intake,Stroke,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Kidney Disease,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Kidney Disease,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Kidney Disease,High,No,Medical,Immediate Attention
High Caffeine Intake,Kidney Disease,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Liver Disease,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Liver Disease,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Liver Disease,High,No,Medical,Immediate Attention
High Caffeine Intake,Liver Disease,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Respiratory Disorder,High,No,Medical,Immediate Attention
High Caffeine Intake,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Cancer,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Cancer,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Cancer,High,No,Medical,Immediate Attention
High Caffeine Intake,Cancer,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Obesity,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Obesity,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Obesity,High,No,Medical,Immediate Attention
High Caffeine Intake,Obesity,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Depression,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Depression,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Depression,High,No,Medical,Immediate Attention
High Caffeine Intake,Depression,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Anxiety,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Anxiety,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Anxiety,High,No,Medical,Immediate Attention
High Caffeine Intake,Anxiety,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Infection Risk,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Infection Risk,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Infection Risk,High,No,Medical,Immediate Attention
High Caffeine Intake,Infection Risk,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Metabolic Disorder,High,No,Medical,Immediate Attention
High Caffeine Intake,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Autoimmune Disease,High,No,Medical,Immediate Attention
High Caffeine Intake,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
High Caffeine Intake,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
High Caffeine Intake,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
High Caffeine Intake,Hormonal Disorder,High,No,Medical,Immediate Attention
High Caffeine Intake,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Heart Disease,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Heart Disease,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Heart Disease,High,No,Medical,Immediate Attention
Low Fiber Diet,Heart Disease,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Diabetes,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Diabetes,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Diabetes,High,No,Medical,Immediate Attention
Low Fiber Diet,Diabetes,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Hypertension,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Hypertension,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Hypertension,High,No,Medical,Immediate Attention
Low Fiber Diet,Hypertension,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Stroke,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Stroke,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Stroke,High,No,Medical,Immediate Attention
Low Fiber Diet,Stroke,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Kidney Disease,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Kidney Disease,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Kidney Disease,High,No,Medical,Immediate Attention
Low Fiber Diet,Kidney Disease,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Liver Disease,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Liver Disease,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Liver Disease,High,No,Medical,Immediate Attention
Low Fiber Diet,Liver Disease,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Respiratory Disorder,High,No,Medical,Immediate Attention
Low Fiber Diet,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Cancer,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Cancer,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Cancer,High,No,Medical,Immediate Attention
Low Fiber Diet,Cancer,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Obesity,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Obesity,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Obesity,High,No,Medical,Immediate Attention
Low Fiber Diet,Obesity,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Depression,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Depression,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Depression,High,No,Medical,Immediate Attention
Low Fiber Diet,Depression,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Anxiety,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Anxiety,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Anxiety,High,No,Medical,Immediate Attention
Low Fiber Diet,Anxiety,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Infection Risk,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Infection Risk,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Infection Risk,High,No,Medical,Immediate Attention
Low Fiber Diet,Infection Risk,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Metabolic Disorder,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Metabolic Disorder,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Metabolic Disorder,High,No,Medical,Immediate Attention
Low Fiber Diet,Metabolic Disorder,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Autoimmune Disease,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Autoimmune Disease,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Autoimmune Disease,High,No,Medical,Immediate Attention
Low Fiber Diet,Autoimmune Disease,Critical,Yes,Lifestyle,Preventive
Low Fiber Diet,Hormonal Disorder,Low,No,Genetic,Moderate Monitoring
Low Fiber Diet,Hormonal Disorder,Medium,Yes,Environmental,High Monitoring
Low Fiber Diet,Hormonal Disorder,High,No,Medical,Immediate Attention
Low Fiber Diet,Hormonal Disorder,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Heart Disease,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Heart Disease,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Heart Disease,High,No,Medical,Immediate Attention
High Fat Diet,Heart Disease,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Diabetes,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Diabetes,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Diabetes,High,No,Medical,Immediate Attention
High Fat Diet,Diabetes,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Hypertension,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Hypertension,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Hypertension,High,No,Medical,Immediate Attention
High Fat Diet,Hypertension,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Stroke,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Stroke,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Stroke,High,No,Medical,Immediate Attention
High Fat Diet,Stroke,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Kidney Disease,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Kidney Disease,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Kidney Disease,High,No,Medical,Immediate Attention
High Fat Diet,Kidney Disease,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Liver Disease,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Liver Disease,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Liver Disease,High,No,Medical,Immediate Attention
High Fat Diet,Liver Disease,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Respiratory Disorder,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Respiratory Disorder,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Respiratory Disorder,High,No,Medical,Immediate Attention
High Fat Diet,Respiratory Disorder,Critical,Yes,Lifestyle,Preventive
High Fat Diet,Cancer,Low,No,Genetic,Moderate Monitoring
High Fat Diet,Cancer,Medium,Yes,Environmental,High Monitoring
High Fat Diet,Cancer,High,No,Medical,Immediate Attention
High Fat Diet,Cancer,Critical,Yes,Lifestyle,Preventive
