symptom,follow_up_question,question_type,expected_values,priority,clinical_category,emergency_flag
Weakness,Since how many days (Variant 4461)?,Duration,Numeric,Low,General,Yes
Weakness,"Mild, moderate or severe (Variant 4462)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Weakness,How frequently does it occur (Variant 4463)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Weakness,When did it start worsening (Variant 4464)?,Progression,Numeric,Low,Neurology,No
Weakness,Any associated symptoms present (Variant 4465)?,Associated Symptom,Yes/No,Medium,GI,Yes
Weakness,Triggered by activity (Variant 4466)?,Trigger,Yes/No,High,Endocrine,No
Weakness,Localized or widespread (Variant 4467)?,Location,Localized/Diffuse,Low,MSK,Yes
Weakness,Constant or intermittent (Variant 4468)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Weakness,Does it affect daily activities (Variant 4469)?,Impact,Yes/No,High,Emergency,Yes
Weakness,Any emergency warning signs (Variant 4470)?,Emergency Flag,Yes/No,Low,General,No
Confusion,Since how many days (Variant 4471)?,Duration,Numeric,Medium,Respiratory,Yes
Confusion,"Mild, moderate or severe (Variant 4472)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Confusion,How frequently does it occur (Variant 4473)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Confusion,When did it start worsening (Variant 4474)?,Progression,Numeric,Medium,GI,No
Confusion,Any associated symptoms present (Variant 4475)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Confusion,Triggered by activity (Variant 4476)?,Trigger,Yes/No,Low,MSK,No
Confusion,Localized or widespread (Variant 4477)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Confusion,Constant or intermittent (Variant 4478)?,Pattern,Constant/Intermittent,High,Emergency,No
Confusion,Does it affect daily activities (Variant 4479)?,Impact,Yes/No,Low,General,Yes
Confusion,Any emergency warning signs (Variant 4480)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Memory Loss,Since how many days (Variant 4481)?,Duration,Numeric,High,Cardiac,Yes
Memory Loss,"Mild, moderate or severe (Variant 4482)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Memory Loss,How frequently does it occur (Variant 4483)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Memory Loss,When did it start worsening (Variant 4484)?,Progression,Numeric,High,Endocrine,No
Memory Loss,Any associated symptoms present (Variant 4485)?,Associated Symptom,Yes/No,Low,MSK,Yes
Memory Loss,Triggered by activity (Variant 4486)?,Trigger,Yes/No,Medium,Dermatology,No
Memory Loss,Localized or widespread (Variant 4487)?,Location,Localized/Diffuse,High,Emergency,Yes
Memory Loss,Constant or intermittent (Variant 4488)?,Pattern,Constant/Intermittent,Low,General,No
Memory Loss,Does it affect daily activities (Variant 4489)?,Impact,Yes/No,Medium,Respiratory,Yes
Memory Loss,Any emergency warning signs (Variant 4490)?,Emergency Flag,Yes/No,High,Cardiac,No
Seizure,Since how many days (Variant 4491)?,Duration,Numeric,Low,Neurology,Yes
Seizure,"Mild, moderate or severe (Variant 4492)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Seizure,How frequently does it occur (Variant 4493)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Seizure,When did it start worsening (Variant 4494)?,Progression,Numeric,Low,MSK,No
Seizure,Any associated symptoms present (Variant 4495)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Seizure,Triggered by activity (Variant 4496)?,Trigger,Yes/No,High,Emergency,No
Seizure,Localized or widespread (Variant 4497)?,Location,Localized/Diffuse,Low,General,Yes
Seizure,Constant or intermittent (Variant 4498)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Seizure,Does it affect daily activities (Variant 4499)?,Impact,Yes/No,High,Cardiac,Yes
Seizure,Any emergency warning signs (Variant 4500)?,Emergency Flag,Yes/No,Low,Neurology,No
Numbness,Since how many days (Variant 4501)?,Duration,Numeric,Medium,GI,Yes
Numbness,"Mild, moderate or severe (Variant 4502)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Numbness,How frequently does it occur (Variant 4503)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Numbness,When did it start worsening (Variant 4504)?,Progression,Numeric,Medium,Dermatology,No
Numbness,Any associated symptoms present (Variant 4505)?,Associated Symptom,Yes/No,High,Emergency,Yes
Numbness,Triggered by activity (Variant 4506)?,Trigger,Yes/No,Low,General,No
Numbness,Localized or widespread (Variant 4507)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Numbness,Constant or intermittent (Variant 4508)?,Pattern,Constant/Intermittent,High,Cardiac,No
Numbness,Does it affect daily activities (Variant 4509)?,Impact,Yes/No,Low,Neurology,Yes
Numbness,Any emergency warning signs (Variant 4510)?,Emergency Flag,Yes/No,Medium,GI,No
Tingling,Since how many days (Variant 4511)?,Duration,Numeric,High,Endocrine,Yes
Tingling,"Mild, moderate or severe (Variant 4512)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Tingling,How frequently does it occur (Variant 4513)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Tingling,When did it start worsening (Variant 4514)?,Progression,Numeric,High,Emergency,No
Tingling,Any associated symptoms present (Variant 4515)?,Associated Symptom,Yes/No,Low,General,Yes
Tingling,Triggered by activity (Variant 4516)?,Trigger,Yes/No,Medium,Respiratory,No
Tingling,Localized or widespread (Variant 4517)?,Location,Localized/Diffuse,High,Cardiac,Yes
Tingling,Constant or intermittent (Variant 4518)?,Pattern,Constant/Intermittent,Low,Neurology,No
Tingling,Does it affect daily activities (Variant 4519)?,Impact,Yes/No,Medium,GI,Yes
Tingling,Any emergency warning signs (Variant 4520)?,Emergency Flag,Yes/No,High,Endocrine,No
Tremor,Since how many days (Variant 4521)?,Duration,Numeric,Low,MSK,Yes
Tremor,"Mild, moderate or severe (Variant 4522)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Tremor,How frequently does it occur (Variant 4523)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Tremor,When did it start worsening (Variant 4524)?,Progression,Numeric,Low,General,No
Tremor,Any associated symptoms present (Variant 4525)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Tremor,Triggered by activity (Variant 4526)?,Trigger,Yes/No,High,Cardiac,No
Tremor,Localized or widespread (Variant 4527)?,Location,Localized/Diffuse,Low,Neurology,Yes
Tremor,Constant or intermittent (Variant 4528)?,Pattern,Constant/Intermittent,Medium,GI,No
Tremor,Does it affect daily activities (Variant 4529)?,Impact,Yes/No,High,Endocrine,Yes
Tremor,Any emergency warning signs (Variant 4530)?,Emergency Flag,Yes/No,Low,MSK,No
Facial Droop,Since how many days (Variant 4531)?,Duration,Numeric,Medium,Dermatology,Yes
Facial Droop,"Mild, moderate or severe (Variant 4532)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Facial Droop,How frequently does it occur (Variant 4533)?,Frequency,Occasional/Frequent,Low,General,Yes
Facial Droop,When did it start worsening (Variant 4534)?,Progression,Numeric,Medium,Respiratory,No
Facial Droop,Any associated symptoms present (Variant 4535)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Facial Droop,Triggered by activity (Variant 4536)?,Trigger,Yes/No,Low,Neurology,No
Facial Droop,Localized or widespread (Variant 4537)?,Location,Localized/Diffuse,Medium,GI,Yes
Facial Droop,Constant or intermittent (Variant 4538)?,Pattern,Constant/Intermittent,High,Endocrine,No
Facial Droop,Does it affect daily activities (Variant 4539)?,Impact,Yes/No,Low,MSK,Yes
Facial Droop,Any emergency warning signs (Variant 4540)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Blurred Vision,Since how many days (Variant 4541)?,Duration,Numeric,High,Emergency,Yes
Blurred Vision,"Mild, moderate or severe (Variant 4542)?",Severity,Mild/Moderate/Severe,Low,General,No
Blurred Vision,How frequently does it occur (Variant 4543)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Blurred Vision,When did it start worsening (Variant 4544)?,Progression,Numeric,High,Cardiac,No
Blurred Vision,Any associated symptoms present (Variant 4545)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Blurred Vision,Triggered by activity (Variant 4546)?,Trigger,Yes/No,Medium,GI,No
Blurred Vision,Localized or widespread (Variant 4547)?,Location,Localized/Diffuse,High,Endocrine,Yes
Blurred Vision,Constant or intermittent (Variant 4548)?,Pattern,Constant/Intermittent,Low,MSK,No
Blurred Vision,Does it affect daily activities (Variant 4549)?,Impact,Yes/No,Medium,Dermatology,Yes
Blurred Vision,Any emergency warning signs (Variant 4550)?,Emergency Flag,Yes/No,High,Emergency,No
Frequent Urination,Since how many days (Variant 4551)?,Duration,Numeric,Low,General,Yes
Frequent Urination,"Mild, moderate or severe (Variant 4552)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Frequent Urination,How frequently does it occur (Variant 4553)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Frequent Urination,When did it start worsening (Variant 4554)?,Progression,Numeric,Low,Neurology,No
Frequent Urination,Any associated symptoms present (Variant 4555)?,Associated Symptom,Yes/No,Medium,GI,Yes
Frequent Urination,Triggered by activity (Variant 4556)?,Trigger,Yes/No,High,Endocrine,No
Frequent Urination,Localized or widespread (Variant 4557)?,Location,Localized/Diffuse,Low,MSK,Yes
Frequent Urination,Constant or intermittent (Variant 4558)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Frequent Urination,Does it affect daily activities (Variant 4559)?,Impact,Yes/No,High,Emergency,Yes
Frequent Urination,Any emergency warning signs (Variant 4560)?,Emergency Flag,Yes/No,Low,General,No
Excess Thirst,Since how many days (Variant 4561)?,Duration,Numeric,Medium,Respiratory,Yes
Excess Thirst,"Mild, moderate or severe (Variant 4562)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Excess Thirst,How frequently does it occur (Variant 4563)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Excess Thirst,When did it start worsening (Variant 4564)?,Progression,Numeric,Medium,GI,No
Excess Thirst,Any associated symptoms present (Variant 4565)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Excess Thirst,Triggered by activity (Variant 4566)?,Trigger,Yes/No,Low,MSK,No
Excess Thirst,Localized or widespread (Variant 4567)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Excess Thirst,Constant or intermittent (Variant 4568)?,Pattern,Constant/Intermittent,High,Emergency,No
Excess Thirst,Does it affect daily activities (Variant 4569)?,Impact,Yes/No,Low,General,Yes
Excess Thirst,Any emergency warning signs (Variant 4570)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Heat Intolerance,Since how many days (Variant 4571)?,Duration,Numeric,High,Cardiac,Yes
Heat Intolerance,"Mild, moderate or severe (Variant 4572)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Heat Intolerance,How frequently does it occur (Variant 4573)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Heat Intolerance,When did it start worsening (Variant 4574)?,Progression,Numeric,High,Endocrine,No
Heat Intolerance,Any associated symptoms present (Variant 4575)?,Associated Symptom,Yes/No,Low,MSK,Yes
Heat Intolerance,Triggered by activity (Variant 4576)?,Trigger,Yes/No,Medium,Dermatology,No
Heat Intolerance,Localized or widespread (Variant 4577)?,Location,Localized/Diffuse,High,Emergency,Yes
Heat Intolerance,Constant or intermittent (Variant 4578)?,Pattern,Constant/Intermittent,Low,General,No
Heat Intolerance,Does it affect daily activities (Variant 4579)?,Impact,Yes/No,Medium,Respiratory,Yes
Heat Intolerance,Any emergency warning signs (Variant 4580)?,Emergency Flag,Yes/No,High,Cardiac,No
Cold Intolerance,Since how many days (Variant 4581)?,Duration,Numeric,Low,Neurology,Yes
Cold Intolerance,"Mild, moderate or severe (Variant 4582)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Cold Intolerance,How frequently does it occur (Variant 4583)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Cold Intolerance,When did it start worsening (Variant 4584)?,Progression,Numeric,Low,MSK,No
Cold Intolerance,Any associated symptoms present (Variant 4585)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Cold Intolerance,Triggered by activity (Variant 4586)?,Trigger,Yes/No,High,Emergency,No
Cold Intolerance,Localized or widespread (Variant 4587)?,Location,Localized/Diffuse,Low,General,Yes
Cold Intolerance,Constant or intermittent (Variant 4588)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Cold Intolerance,Does it affect daily activities (Variant 4589)?,Impact,Yes/No,High,Cardiac,Yes
Cold Intolerance,Any emergency warning signs (Variant 4590)?,Emergency Flag,Yes/No,Low,Neurology,No
Rash,Since how many days (Variant 4591)?,Duration,Numeric,Medium,GI,Yes
Rash,"Mild, moderate or severe (Variant 4592)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Rash,How frequently does it occur (Variant 4593)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Rash,When did it start worsening (Variant 4594)?,Progression,Numeric,Medium,Dermatology,No
Rash,Any associated symptoms present (Variant 4595)?,Associated Symptom,Yes/No,High,Emergency,Yes
Rash,Triggered by activity (Variant 4596)?,Trigger,Yes/No,Low,General,No
Rash,Localized or widespread (Variant 4597)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Rash,Constant or intermittent (Variant 4598)?,Pattern,Constant/Intermittent,High,Cardiac,No
Rash,Does it affect daily activities (Variant 4599)?,Impact,Yes/No,Low,Neurology,Yes
Rash,Any emergency warning signs (Variant 4600)?,Emergency Flag,Yes/No,Medium,GI,No
Itching,Since how many days (Variant 4601)?,Duration,Numeric,High,Endocrine,Yes
Itching,"Mild, moderate or severe (Variant 4602)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Itching,How frequently does it occur (Variant 4603)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Itching,When did it start worsening (Variant 4604)?,Progression,Numeric,High,Emergency,No
Itching,Any associated symptoms present (Variant 4605)?,Associated Symptom,Yes/No,Low,General,Yes
Itching,Triggered by activity (Variant 4606)?,Trigger,Yes/No,Medium,Respiratory,No
Itching,Localized or widespread (Variant 4607)?,Location,Localized/Diffuse,High,Cardiac,Yes
Itching,Constant or intermittent (Variant 4608)?,Pattern,Constant/Intermittent,Low,Neurology,No
Itching,Does it affect daily activities (Variant 4609)?,Impact,Yes/No,Medium,GI,Yes
Itching,Any emergency warning signs (Variant 4610)?,Emergency Flag,Yes/No,High,Endocrine,No
Skin Lesions,Since how many days (Variant 4611)?,Duration,Numeric,Low,MSK,Yes
Skin Lesions,"Mild, moderate or severe (Variant 4612)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Skin Lesions,How frequently does it occur (Variant 4613)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Skin Lesions,When did it start worsening (Variant 4614)?,Progression,Numeric,Low,General,No
Skin Lesions,Any associated symptoms present (Variant 4615)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Skin Lesions,Triggered by activity (Variant 4616)?,Trigger,Yes/No,High,Cardiac,No
Skin Lesions,Localized or widespread (Variant 4617)?,Location,Localized/Diffuse,Low,Neurology,Yes
Skin Lesions,Constant or intermittent (Variant 4618)?,Pattern,Constant/Intermittent,Medium,GI,No
Skin Lesions,Does it affect daily activities (Variant 4619)?,Impact,Yes/No,High,Endocrine,Yes
Skin Lesions,Any emergency warning signs (Variant 4620)?,Emergency Flag,Yes/No,Low,MSK,No
Hair Loss,Since how many days (Variant 4621)?,Duration,Numeric,Medium,Dermatology,Yes
Hair Loss,"Mild, moderate or severe (Variant 4622)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Hair Loss,How frequently does it occur (Variant 4623)?,Frequency,Occasional/Frequent,Low,General,Yes
Hair Loss,When did it start worsening (Variant 4624)?,Progression,Numeric,Medium,Respiratory,No
Hair Loss,Any associated symptoms present (Variant 4625)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Hair Loss,Triggered by activity (Variant 4626)?,Trigger,Yes/No,Low,Neurology,No
Hair Loss,Localized or widespread (Variant 4627)?,Location,Localized/Diffuse,Medium,GI,Yes
Hair Loss,Constant or intermittent (Variant 4628)?,Pattern,Constant/Intermittent,High,Endocrine,No
Hair Loss,Does it affect daily activities (Variant 4629)?,Impact,Yes/No,Low,MSK,Yes
Hair Loss,Any emergency warning signs (Variant 4630)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Insomnia,Since how many days (Variant 4631)?,Duration,Numeric,High,Emergency,Yes
Insomnia,"Mild, moderate or severe (Variant 4632)?",Severity,Mild/Moderate/Severe,Low,General,No
Insomnia,How frequently does it occur (Variant 4633)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Insomnia,When did it start worsening (Variant 4634)?,Progression,Numeric,High,Cardiac,No
Insomnia,Any associated symptoms present (Variant 4635)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Insomnia,Triggered by activity (Variant 4636)?,Trigger,Yes/No,Medium,GI,No
Insomnia,Localized or widespread (Variant 4637)?,Location,Localized/Diffuse,High,Endocrine,Yes
Insomnia,Constant or intermittent (Variant 4638)?,Pattern,Constant/Intermittent,Low,MSK,No
Insomnia,Does it affect daily activities (Variant 4639)?,Impact,Yes/No,Medium,Dermatology,Yes
Insomnia,Any emergency warning signs (Variant 4640)?,Emergency Flag,Yes/No,High,Emergency,No
Anxiety,Since how many days (Variant 4641)?,Duration,Numeric,Low,General,Yes
Anxiety,"Mild, moderate or severe (Variant 4642)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Anxiety,How frequently does it occur (Variant 4643)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Anxiety,When did it start worsening (Variant 4644)?,Progression,Numeric,Low,Neurology,No
Anxiety,Any associated symptoms present (Variant 4645)?,Associated Symptom,Yes/No,Medium,GI,Yes
Anxiety,Triggered by activity (Variant 4646)?,Trigger,Yes/No,High,Endocrine,No
Anxiety,Localized or widespread (Variant 4647)?,Location,Localized/Diffuse,Low,MSK,Yes
Anxiety,Constant or intermittent (Variant 4648)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Anxiety,Does it affect daily activities (Variant 4649)?,Impact,Yes/No,High,Emergency,Yes
Anxiety,Any emergency warning signs (Variant 4650)?,Emergency Flag,Yes/No,Low,General,No
Depressed Mood,Since how many days (Variant 4651)?,Duration,Numeric,Medium,Respiratory,Yes
Depressed Mood,"Mild, moderate or severe (Variant 4652)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Depressed Mood,How frequently does it occur (Variant 4653)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Depressed Mood,When did it start worsening (Variant 4654)?,Progression,Numeric,Medium,GI,No
Depressed Mood,Any associated symptoms present (Variant 4655)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Depressed Mood,Triggered by activity (Variant 4656)?,Trigger,Yes/No,Low,MSK,No
Depressed Mood,Localized or widespread (Variant 4657)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Depressed Mood,Constant or intermittent (Variant 4658)?,Pattern,Constant/Intermittent,High,Emergency,No
Depressed Mood,Does it affect daily activities (Variant 4659)?,Impact,Yes/No,Low,General,Yes
Depressed Mood,Any emergency warning signs (Variant 4660)?,Emergency Flag,Yes/No,Medium,Respiratory,No
Irritability,Since how many days (Variant 4661)?,Duration,Numeric,High,Cardiac,Yes
Irritability,"Mild, moderate or severe (Variant 4662)?",Severity,Mild/Moderate/Severe,Low,Neurology,No
Irritability,How frequently does it occur (Variant 4663)?,Frequency,Occasional/Frequent,Medium,GI,Yes
Irritability,When did it start worsening (Variant 4664)?,Progression,Numeric,High,Endocrine,No
Irritability,Any associated symptoms present (Variant 4665)?,Associated Symptom,Yes/No,Low,MSK,Yes
Irritability,Triggered by activity (Variant 4666)?,Trigger,Yes/No,Medium,Dermatology,No
Irritability,Localized or widespread (Variant 4667)?,Location,Localized/Diffuse,High,Emergency,Yes
Irritability,Constant or intermittent (Variant 4668)?,Pattern,Constant/Intermittent,Low,General,No
Irritability,Does it affect daily activities (Variant 4669)?,Impact,Yes/No,Medium,Respiratory,Yes
Irritability,Any emergency warning signs (Variant 4670)?,Emergency Flag,Yes/No,High,Cardiac,No
Ear Pain,Since how many days (Variant 4671)?,Duration,Numeric,Low,Neurology,Yes
Ear Pain,"Mild, moderate or severe (Variant 4672)?",Severity,Mild/Moderate/Severe,Medium,GI,No
Ear Pain,How frequently does it occur (Variant 4673)?,Frequency,Occasional/Frequent,High,Endocrine,Yes
Ear Pain,When did it start worsening (Variant 4674)?,Progression,Numeric,Low,MSK,No
Ear Pain,Any associated symptoms present (Variant 4675)?,Associated Symptom,Yes/No,Medium,Dermatology,Yes
Ear Pain,Triggered by activity (Variant 4676)?,Trigger,Yes/No,High,Emergency,No
Ear Pain,Localized or widespread (Variant 4677)?,Location,Localized/Diffuse,Low,General,Yes
Ear Pain,Constant or intermittent (Variant 4678)?,Pattern,Constant/Intermittent,Medium,Respiratory,No
Ear Pain,Does it affect daily activities (Variant 4679)?,Impact,Yes/No,High,Cardiac,Yes
Ear Pain,Any emergency warning signs (Variant 4680)?,Emergency Flag,Yes/No,Low,Neurology,No
Hearing Loss,Since how many days (Variant 4681)?,Duration,Numeric,Medium,GI,Yes
Hearing Loss,"Mild, moderate or severe (Variant 4682)?",Severity,Mild/Moderate/Severe,High,Endocrine,No
Hearing Loss,How frequently does it occur (Variant 4683)?,Frequency,Occasional/Frequent,Low,MSK,Yes
Hearing Loss,When did it start worsening (Variant 4684)?,Progression,Numeric,Medium,Dermatology,No
Hearing Loss,Any associated symptoms present (Variant 4685)?,Associated Symptom,Yes/No,High,Emergency,Yes
Hearing Loss,Triggered by activity (Variant 4686)?,Trigger,Yes/No,Low,General,No
Hearing Loss,Localized or widespread (Variant 4687)?,Location,Localized/Diffuse,Medium,Respiratory,Yes
Hearing Loss,Constant or intermittent (Variant 4688)?,Pattern,Constant/Intermittent,High,Cardiac,No
Hearing Loss,Does it affect daily activities (Variant 4689)?,Impact,Yes/No,Low,Neurology,Yes
Hearing Loss,Any emergency warning signs (Variant 4690)?,Emergency Flag,Yes/No,Medium,GI,No
Neck Pain,Since how many days (Variant 4691)?,Duration,Numeric,High,Endocrine,Yes
Neck Pain,"Mild, moderate or severe (Variant 4692)?",Severity,Mild/Moderate/Severe,Low,MSK,No
Neck Pain,How frequently does it occur (Variant 4693)?,Frequency,Occasional/Frequent,Medium,Dermatology,Yes
Neck Pain,When did it start worsening (Variant 4694)?,Progression,Numeric,High,Emergency,No
Neck Pain,Any associated symptoms present (Variant 4695)?,Associated Symptom,Yes/No,Low,General,Yes
Neck Pain,Triggered by activity (Variant 4696)?,Trigger,Yes/No,Medium,Respiratory,No
Neck Pain,Localized or widespread (Variant 4697)?,Location,Localized/Diffuse,High,Cardiac,Yes
Neck Pain,Constant or intermittent (Variant 4698)?,Pattern,Constant/Intermittent,Low,Neurology,No
Neck Pain,Does it affect daily activities (Variant 4699)?,Impact,Yes/No,Medium,GI,Yes
Neck Pain,Any emergency warning signs (Variant 4700)?,Emergency Flag,Yes/No,High,Endocrine,No
Pelvic Pain,Since how many days (Variant 4701)?,Duration,Numeric,Low,MSK,Yes
Pelvic Pain,"Mild, moderate or severe (Variant 4702)?",Severity,Mild/Moderate/Severe,Medium,Dermatology,No
Pelvic Pain,How frequently does it occur (Variant 4703)?,Frequency,Occasional/Frequent,High,Emergency,Yes
Pelvic Pain,When did it start worsening (Variant 4704)?,Progression,Numeric,Low,General,No
Pelvic Pain,Any associated symptoms present (Variant 4705)?,Associated Symptom,Yes/No,Medium,Respiratory,Yes
Pelvic Pain,Triggered by activity (Variant 4706)?,Trigger,Yes/No,High,Cardiac,No
Pelvic Pain,Localized or widespread (Variant 4707)?,Location,Localized/Diffuse,Low,Neurology,Yes
Pelvic Pain,Constant or intermittent (Variant 4708)?,Pattern,Constant/Intermittent,Medium,GI,No
Pelvic Pain,Does it affect daily activities (Variant 4709)?,Impact,Yes/No,High,Endocrine,Yes
Pelvic Pain,Any emergency warning signs (Variant 4710)?,Emergency Flag,Yes/No,Low,MSK,No
Menstrual Irregularity,Since how many days (Variant 4711)?,Duration,Numeric,Medium,Dermatology,Yes
Menstrual Irregularity,"Mild, moderate or severe (Variant 4712)?",Severity,Mild/Moderate/Severe,High,Emergency,No
Menstrual Irregularity,How frequently does it occur (Variant 4713)?,Frequency,Occasional/Frequent,Low,General,Yes
Menstrual Irregularity,When did it start worsening (Variant 4714)?,Progression,Numeric,Medium,Respiratory,No
Menstrual Irregularity,Any associated symptoms present (Variant 4715)?,Associated Symptom,Yes/No,High,Cardiac,Yes
Menstrual Irregularity,Triggered by activity (Variant 4716)?,Trigger,Yes/No,Low,Neurology,No
Menstrual Irregularity,Localized or widespread (Variant 4717)?,Location,Localized/Diffuse,Medium,GI,Yes
Menstrual Irregularity,Constant or intermittent (Variant 4718)?,Pattern,Constant/Intermittent,High,Endocrine,No
Menstrual Irregularity,Does it affect daily activities (Variant 4719)?,Impact,Yes/No,Low,MSK,Yes
Menstrual Irregularity,Any emergency warning signs (Variant 4720)?,Emergency Flag,Yes/No,Medium,Dermatology,No
Burning Urination,Since how many days (Variant 4721)?,Duration,Numeric,High,Emergency,Yes
Burning Urination,"Mild, moderate or severe (Variant 4722)?",Severity,Mild/Moderate/Severe,Low,General,No
Burning Urination,How frequently does it occur (Variant 4723)?,Frequency,Occasional/Frequent,Medium,Respiratory,Yes
Burning Urination,When did it start worsening (Variant 4724)?,Progression,Numeric,High,Cardiac,No
Burning Urination,Any associated symptoms present (Variant 4725)?,Associated Symptom,Yes/No,Low,Neurology,Yes
Burning Urination,Triggered by activity (Variant 4726)?,Trigger,Yes/No,Medium,GI,No
Burning Urination,Localized or widespread (Variant 4727)?,Location,Localized/Diffuse,High,Endocrine,Yes
Burning Urination,Constant or intermittent (Variant 4728)?,Pattern,Constant/Intermittent,Low,MSK,No
Burning Urination,Does it affect daily activities (Variant 4729)?,Impact,Yes/No,Medium,Dermatology,Yes
Burning Urination,Any emergency warning signs (Variant 4730)?,Emergency Flag,Yes/No,High,Emergency,No
Blood in Urine,Since how many days (Variant 4731)?,Duration,Numeric,Low,General,Yes
Blood in Urine,"Mild, moderate or severe (Variant 4732)?",Severity,Mild/Moderate/Severe,Medium,Respiratory,No
Blood in Urine,How frequently does it occur (Variant 4733)?,Frequency,Occasional/Frequent,High,Cardiac,Yes
Blood in Urine,When did it start worsening (Variant 4734)?,Progression,Numeric,Low,Neurology,No
Blood in Urine,Any associated symptoms present (Variant 4735)?,Associated Symptom,Yes/No,Medium,GI,Yes
Blood in Urine,Triggered by activity (Variant 4736)?,Trigger,Yes/No,High,Endocrine,No
Blood in Urine,Localized or widespread (Variant 4737)?,Location,Localized/Diffuse,Low,MSK,Yes
Blood in Urine,Constant or intermittent (Variant 4738)?,Pattern,Constant/Intermittent,Medium,Dermatology,No
Blood in Urine,Does it affect daily activities (Variant 4739)?,Impact,Yes/No,High,Emergency,Yes
Blood in Urine,Any emergency warning signs (Variant 4740)?,Emergency Flag,Yes/No,Low,General,No
Swollen Lymph Nodes,Since how many days (Variant 4741)?,Duration,Numeric,Medium,Respiratory,Yes
Swollen Lymph Nodes,"Mild, moderate or severe (Variant 4742)?",Severity,Mild/Moderate/Severe,High,Cardiac,No
Swollen Lymph Nodes,How frequently does it occur (Variant 4743)?,Frequency,Occasional/Frequent,Low,Neurology,Yes
Swollen Lymph Nodes,When did it start worsening (Variant 4744)?,Progression,Numeric,Medium,GI,No
Swollen Lymph Nodes,Any associated symptoms present (Variant 4745)?,Associated Symptom,Yes/No,High,Endocrine,Yes
Swollen Lymph Nodes,Triggered by activity (Variant 4746)?,Trigger,Yes/No,Low,MSK,No
Swollen Lymph Nodes,Localized or widespread (Variant 4747)?,Location,Localized/Diffuse,Medium,Dermatology,Yes
Swollen Lymph Nodes,Constant or intermittent (Variant 4748)?,Pattern,Constant/Intermittent,High,Emergency,No
