id,disease_name,category,severity,target_demographic,symptoms,description,medical_advice
731,Common Cold,Respiratory,Acute,Adult,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Adult.,Apply ice or heat to the affected area.
732,Ear Infection,Ears,Severe,Elderly,"ear pain, difficulty hearing, drainage from ear, fatigue, dehydration",Severe case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Elderly.,Maintain good hygiene.
733,Pink Eye,Eyes,Moderate,Adult,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Adult.,Rest and hydration recommended.
734,Constipation,Digestive,Severe,Elderly,"infrequent bowel movements, hard stools, straining, fatigue, dehydration",Severe case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Prescription medication might be required.
735,Muscle Strain,Musculoskeletal,Acute,General,"sudden pain, swelling, muscle weakness, bruising",Acute case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: General.,Avoid triggers like spicy food or allergens.
736,Hypertension,Cardiovascular,Acute,Elderly,"headaches, shortness of breath, nosebleeds",Acute case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Elderly.,Monitor symptoms closely.
737,Osteoarthritis,Musculoskeletal,Severe,Child,"joint pain, stiffness, tenderness, loss of flexibility, fatigue, dehydration","Severe case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Child.",Apply ice or heat to the affected area.
738,Bunion,Musculoskeletal,Mild,Adult,"bump on big toe joint,  redness",Mild case of Bunion. A bony bump that forms on the joint at the base of your big toe. Target demographic: Adult.,Rest and hydration recommended.
739,Jock Itch,Skin,Severe,Adult,"red, itchy rash in the groin area, burning sensation, fatigue, dehydration","Severe case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: Adult.",Rest and hydration recommended.
740,Heat Exhaustion,Environmental,Moderate,Child,"heavy sweating, faintness, dizziness, fatigue, cool skin",Moderate case of Heat Exhaustion. A condition where the body overheats due to exposure to high temperatures. Target demographic: Child.,Maintain good hygiene.
741,Ear Infection,Ears,Acute,Adult,"ear pain, difficulty hearing, drainage from ear",Acute case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Adult.,Over-the-counter medication may help.
742,Tension Headache,Neurological,Mild,Male,"dull head pain,  pressure across forehead","Mild case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Apply ice or heat to the affected area.
743,Ear Infection,Ears,Severe,Male,"ear pain, difficulty hearing, drainage from ear, fatigue, dehydration",Severe case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
744,Yeast Infection,Reproductive,Severe,Male,"itching, irritation, vaginal discharge, pain during urination, fatigue, dehydration","Severe case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Male.",Consult a doctor if symptoms persist for more than 48 hours.
745,Menstrual Cramps,Reproductive,Chronic,Female,"throbbing pain in lower abdomen, nausea, headache",Chronic case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Female.,Prescription medication might be required.
746,Toothache,Dental,Acute,Child,"tooth pain, swelling around tooth, fever, drainage",Acute case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Child.,Maintain good hygiene.
747,Hypertension,Cardiovascular,Mild,Child,"headaches,  shortness of breath",Mild case of Hypertension. High blood pressure is a common condition where blood pressure is elevated. Target demographic: Child.,Monitor symptoms closely.
748,Tension Headache,Neurological,Chronic,Male,"dull head pain, pressure across forehead, scalp tenderness","Chronic case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Male.",Monitor symptoms closely.
749,Cold Sore,Skin,Chronic,Female,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Female.,Avoid triggers like spicy food or allergens.
750,Osteoarthritis,Musculoskeletal,Mild,Female,"joint pain,  stiffness","Mild case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
751,Sinusitis,Respiratory,Severe,Child,"facial pain, thick nasal discharge, headache, cough, fatigue, dehydration",Severe case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Avoid triggers like spicy food or allergens.
752,Sinusitis,Respiratory,Chronic,Male,"facial pain, thick nasal discharge, headache, cough",Chronic case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Male.,Home remedies can alleviate symptoms.
753,Eczema,Skin,Chronic,Male,"dry, itchy skin, redness, cracked skin","Chronic case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Male.",Home remedies can alleviate symptoms.
754,Sinusitis,Respiratory,Severe,Elderly,"facial pain, thick nasal discharge, headache, cough, fatigue, dehydration",Severe case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Elderly.,Monitor symptoms closely.
755,Common Cold,Respiratory,Mild,Child,"runny nose,  sore throat",Mild case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Child.,Maintain good hygiene.
756,Tension Headache,Neurological,Severe,General,"dull head pain, pressure across forehead, scalp tenderness, fatigue, dehydration","Severe case of Tension Headache. The most common type of headache, often stress-related. Target demographic: General.",Consult a doctor if symptoms persist for more than 48 hours.
757,Sunburn,Skin,Mild,Female,"red skin,  pain",Mild case of Sunburn. Skin damage caused by ultraviolet (UV) rays from the sun. Target demographic: Female.,Maintain good hygiene.
758,Canker Sore,Dental,Acute,General,"small ulcer in mouth, pain, difficulty eating","Acute case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: General.",Monitor symptoms closely.
759,Eczema,Skin,Moderate,Elderly,"dry, itchy skin, redness, cracked skin","Moderate case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
760,Heartburn,Digestive,Moderate,General,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Moderate case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: General.",Seek immediate medical attention.
761,Gingivitis,Dental,Moderate,Female,"swollen gums, bleeding gums, bad breath, receding gums",Moderate case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Female.,Apply ice or heat to the affected area.
762,Nosebleed,General,Acute,Female,"bleeding from nose, dry nasal membranes","Acute case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Female.",Maintain good hygiene.
763,Motion Sickness,Neurological,Moderate,Female,"nausea, vomiting, dizziness, cold sweats","Moderate case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Female.",Apply ice or heat to the affected area.
764,Sinusitis,Respiratory,Moderate,Child,"facial pain, thick nasal discharge, headache, cough",Moderate case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Consult a doctor if symptoms persist for more than 48 hours.
765,Cold Sore,Skin,Acute,Elderly,"tingling, blisters on lip, pain, itching",Acute case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Elderly.,Apply ice or heat to the affected area.
766,Toothache,Dental,Chronic,Female,"tooth pain, swelling around tooth, fever, drainage",Chronic case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Female.,Avoid triggers like spicy food or allergens.
767,Tennis Elbow,Musculoskeletal,Severe,Female,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Female.",Avoid triggers like spicy food or allergens.
768,Dandruff,Skin,Chronic,Elderly,"flaking scalp, itching, dry skin",Chronic case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Elderly.,Apply ice or heat to the affected area.
769,Type 2 Diabetes,Metabolic,Severe,Male,"increased thirst, frequent urination, hunger, fatigue, fatigue, dehydration",Severe case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Male.,Monitor symptoms closely.
770,Athlete's Foot,Skin,Mild,Elderly,"scaly rash,  itching",Mild case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
771,Tension Headache,Neurological,Severe,Child,"dull head pain, pressure across forehead, scalp tenderness, fatigue, dehydration","Severe case of Tension Headache. The most common type of headache, often stress-related. Target demographic: Child.",Over-the-counter medication may help.
772,Gingivitis,Dental,Acute,Adult,"swollen gums, bleeding gums, bad breath, receding gums",Acute case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: Adult.,Maintain good hygiene.
773,Common Cold,Respiratory,Acute,Elderly,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Elderly.,Monitor symptoms closely.
774,Hemorrhoids,Digestive,Chronic,Male,"rectal bleeding, itching, pain, swelling",Chronic case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Male.,Rest and hydration recommended.
775,Jock Itch,Skin,Chronic,General,"red, itchy rash in the groin area, burning sensation","Chronic case of Jock Itch. A fungal infection that causes a red, itchy rash in warm, moist areas of the body. Target demographic: General.",Rest and hydration recommended.
776,Cold Sore,Skin,Chronic,Elderly,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
777,Constipation,Digestive,Moderate,General,"infrequent bowel movements, hard stools, straining",Moderate case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: General.,Rest and hydration recommended.
778,Common Cold,Respiratory,Severe,Male,"runny nose, sore throat, coughing, sneezing, fatigue, dehydration",Severe case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Male.,Apply ice or heat to the affected area.
779,Canker Sore,Dental,Acute,Female,"small ulcer in mouth, pain, difficulty eating","Acute case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Female.",Home remedies can alleviate symptoms.
780,Canker Sore,Dental,Chronic,General,"small ulcer in mouth, pain, difficulty eating","Chronic case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: General.",Over-the-counter medication may help.
781,Anxiety,Mental Health,Chronic,Male,"nervousness, rapid heart rate, trembling, sweating","Chronic case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Male.",Apply ice or heat to the affected area.
782,Insomnia,Mental Health,Mild,Male,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Male.,Home remedies can alleviate symptoms.
783,Hives,Skin,Severe,General,"red welts, itching, swelling, burning sensation, fatigue, dehydration","Severe case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: General.",Consult a doctor if symptoms persist for more than 48 hours.
784,Allergic Rhinitis,Immune,Chronic,Male,"sneezing, runny nose, itchy eyes, congestion",Chronic case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Male.,Avoid triggers like spicy food or allergens.
785,Hives,Skin,Severe,Female,"red welts, itching, swelling, burning sensation, fatigue, dehydration","Severe case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Female.",Prescription medication might be required.
786,Eczema,Skin,Moderate,Child,"dry, itchy skin, redness, cracked skin","Moderate case of Eczema. A condition where patches of skin become inflamed, itchy, and cracked. Target demographic: Child.",Prescription medication might be required.
787,Influenza B,Respiratory,Severe,Elderly,"fever, chills, muscle aches, cough, fatigue, fatigue, dehydration","Severe case of Influenza B. A specific strain of the flu virus, typically appearing in seasonal outbreaks. Target demographic: Elderly.",Home remedies can alleviate symptoms.
788,Osteoarthritis,Musculoskeletal,Acute,General,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Monitor symptoms closely.
789,Cold Sore,Skin,Severe,Child,"tingling, blisters on lip, pain, itching, fatigue, dehydration",Severe case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Child.,Home remedies can alleviate symptoms.
790,Indigestion,Digestive,Moderate,Elderly,"upper abdominal pain, bloating, belching, nausea",Moderate case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Elderly.,Maintain good hygiene.
791,Anxiety,Mental Health,Severe,General,"nervousness, rapid heart rate, trembling, sweating, fatigue, dehydration","Severe case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: General.",Home remedies can alleviate symptoms.
792,Common Cold,Respiratory,Acute,Child,"runny nose, sore throat, coughing, sneezing",Acute case of Common Cold. A viral infection of the upper respiratory tract. Target demographic: Child.,Prescription medication might be required.
793,Constipation,Digestive,Moderate,Elderly,"infrequent bowel movements, hard stools, straining",Moderate case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Consult a doctor if symptoms persist for more than 48 hours.
794,Type 2 Diabetes,Metabolic,Mild,Child,"increased thirst,  frequent urination",Mild case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Child.,Apply ice or heat to the affected area.
795,Dehydration,Metabolic,Mild,Child,"extreme thirst,  dry mouth",Mild case of Dehydration. Occurs when you use or lose more fluid than you take in. Target demographic: Child.,Over-the-counter medication may help.
796,Dandruff,Skin,Severe,Elderly,"flaking scalp, itching, dry skin, fatigue, dehydration",Severe case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
797,Osteoarthritis,Musculoskeletal,Acute,Child,"joint pain, stiffness, tenderness, loss of flexibility","Acute case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: Child.",Apply ice or heat to the affected area.
798,Contact Dermatitis,Skin,Mild,Elderly,"red rash,  itching",Mild case of Contact Dermatitis. A skin reaction caused by contact with an allergen or irritant. Target demographic: Elderly.,Avoid triggers like spicy food or allergens.
799,Anxiety,Mental Health,Severe,Adult,"nervousness, rapid heart rate, trembling, sweating, fatigue, dehydration","Severe case of Anxiety. Intense, excessive, and persistent worry and fear. Target demographic: Adult.",Maintain good hygiene.
800,Pink Eye,Eyes,Severe,General,"redness, itching, discharge, tearing, fatigue, dehydration",Severe case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: General.,Maintain good hygiene.
801,Osteoarthritis,Musculoskeletal,Moderate,General,"joint pain, stiffness, tenderness, loss of flexibility","Moderate case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Avoid triggers like spicy food or allergens.
802,Insomnia,Mental Health,Mild,Elderly,"difficulty falling asleep,  waking up frequently",Mild case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Elderly.,Rest and hydration recommended.
803,Viral Pharyngitis,Respiratory,Severe,Female,"sore throat, scratchy throat, difficulty swallowing, fatigue, dehydration","Severe case of Viral Pharyngitis. Inflammation of the pharynx, usually caused by a viral infection. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
804,Acid Reflux,Digestive,Acute,Child,"heartburn, chest pain, regurgitation, difficulty swallowing",Acute case of Acid Reflux. A digestive disease where stomach acid irritates the food pipe. Target demographic: Child.,Rest and hydration recommended.
805,Muscle Strain,Musculoskeletal,Mild,Female,"sudden pain,  swelling",Mild case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Female.,Home remedies can alleviate symptoms.
806,Laryngitis,Respiratory,Acute,Female,"hoarseness, weak voice, sore throat, dry cough","Acute case of Laryngitis. Inflammation of the voice box (larynx) from overuse, irritation or infection. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
807,Dandruff,Skin,Acute,Elderly,"flaking scalp, itching, dry skin",Acute case of Dandruff. A common condition that causes the skin on the scalp to flake. Target demographic: Elderly.,Maintain good hygiene.
808,Migraine,Neurological,Acute,Child,"severe headache, nausea, sensitivity to light, blurred vision",Acute case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Rest and hydration recommended.
809,Cold Sore,Skin,Moderate,Female,"tingling, blisters on lip, pain, itching",Moderate case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Female.,Rest and hydration recommended.
810,Gastroenteritis,Digestive,Chronic,Female,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: Female.",Avoid triggers like spicy food or allergens.
811,Canker Sore,Dental,Mild,Elderly,"small ulcer in mouth,  pain","Mild case of Canker Sore. A small, shallow lesion on the soft tissues in your mouth. Target demographic: Elderly.",Consult a doctor if symptoms persist for more than 48 hours.
812,Migraine,Neurological,Acute,Child,"severe headache, nausea, sensitivity to light, blurred vision",Acute case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Over-the-counter medication may help.
813,Muscle Strain,Musculoskeletal,Severe,Adult,"sudden pain, swelling, muscle weakness, bruising, fatigue, dehydration",Severe case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Adult.,Over-the-counter medication may help.
814,Athlete's Foot,Skin,Acute,Adult,"scaly rash, itching, stinging, blisters on feet",Acute case of Athlete's Foot. A fungal infection that usually begins between the toes. Target demographic: Adult.,Apply ice or heat to the affected area.
815,Tennis Elbow,Musculoskeletal,Moderate,Adult,"pain on outer elbow, weak grip, burning sensation","Moderate case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Adult.",Apply ice or heat to the affected area.
816,Ear Infection,Ears,Chronic,Elderly,"ear pain, difficulty hearing, drainage from ear",Chronic case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Elderly.,Seek immediate medical attention.
817,Carpal Tunnel,Musculoskeletal,Severe,General,"numbness, tingling, weakness in hand, fatigue, dehydration",Severe case of Carpal Tunnel. Pressure on the median nerve causing numbness and tingling in the hand. Target demographic: General.,Over-the-counter medication may help.
818,Menstrual Cramps,Reproductive,Moderate,Adult,"throbbing pain in lower abdomen, nausea, headache",Moderate case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Adult.,Monitor symptoms closely.
819,Heartburn,Digestive,Mild,General,"burning pain in chest,  sour taste in mouth","Mild case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: General.",Over-the-counter medication may help.
820,Toothache,Dental,Acute,Female,"tooth pain, swelling around tooth, fever, drainage",Acute case of Toothache. Pain in or around a tooth caused by various dental problems. Target demographic: Female.,Maintain good hygiene.
821,Ear Infection,Ears,Acute,Adult,"ear pain, difficulty hearing, drainage from ear",Acute case of Ear Infection. A bacterial or viral infection that affects the middle ear. Target demographic: Adult.,Seek immediate medical attention.
822,Hives,Skin,Chronic,Elderly,"red welts, itching, swelling, burning sensation","Chronic case of Hives. A skin reaction that causes itchy welts, often triggered by allergens. Target demographic: Elderly.",Home remedies can alleviate symptoms.
823,Indigestion,Digestive,Chronic,Male,"upper abdominal pain, bloating, belching, nausea",Chronic case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Male.,Apply ice or heat to the affected area.
824,Tennis Elbow,Musculoskeletal,Severe,Female,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Female.",Over-the-counter medication may help.
825,Heartburn,Digestive,Acute,Child,"burning pain in chest, sour taste in mouth, pain worsening when lying down","Acute case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Child.",Avoid triggers like spicy food or allergens.
826,Yeast Infection,Reproductive,Moderate,Male,"itching, irritation, vaginal discharge, pain during urination","Moderate case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Male.",Seek immediate medical attention.
827,Menstrual Cramps,Reproductive,Severe,Female,"throbbing pain in lower abdomen, nausea, headache, fatigue, dehydration",Severe case of Menstrual Cramps. Pain in the lower abdomen that occurs during a menstrual period. Target demographic: Female.,Seek immediate medical attention.
828,Tennis Elbow,Musculoskeletal,Severe,General,"pain on outer elbow, weak grip, burning sensation, fatigue, dehydration","Severe case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: General.",Over-the-counter medication may help.
829,Strep Throat,Respiratory,Chronic,Child,"throat pain, fever, swollen lymph nodes, white patches on tonsils",Chronic case of Strep Throat. A bacterial infection that causes inflammation and pain in the throat. Target demographic: Child.,Rest and hydration recommended.
830,Sinusitis,Respiratory,Mild,Adult,"facial pain,  thick nasal discharge",Mild case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Adult.,Over-the-counter medication may help.
831,Motion Sickness,Neurological,Mild,Elderly,"nausea,  vomiting","Mild case of Motion Sickness. A sick feeling triggered by movement from cars, planes, or boats. Target demographic: Elderly.",Rest and hydration recommended.
832,Asthma,Respiratory,Severe,Elderly,"wheezing, shortness of breath, chest tightness, coughing, fatigue, dehydration",Severe case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Elderly.,Maintain good hygiene.
833,Sinusitis,Respiratory,Severe,Child,"facial pain, thick nasal discharge, headache, cough, fatigue, dehydration",Severe case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: Child.,Prescription medication might be required.
834,Food Poisoning,Digestive,Acute,General,"nausea, vomiting, watery diarrhea, abdominal pain",Acute case of Food Poisoning. Illness caused by consuming contaminated food. Target demographic: General.,Monitor symptoms closely.
835,Yeast Infection,Reproductive,Severe,Elderly,"itching, irritation, vaginal discharge, pain during urination, fatigue, dehydration","Severe case of Yeast Infection. A fungal infection that causes irritation, discharge, and intense itchiness. Target demographic: Elderly.",Apply ice or heat to the affected area.
836,Migraine,Neurological,Chronic,Male,"severe headache, nausea, sensitivity to light, blurred vision",Chronic case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Male.,Monitor symptoms closely.
837,Hemorrhoids,Digestive,Mild,Adult,"rectal bleeding,  itching",Mild case of Hemorrhoids. Swollen veins in the lowest part of your rectum and anus. Target demographic: Adult.,Prescription medication might be required.
838,Gastroenteritis,Digestive,Chronic,General,"diarrhea, stomach cramps, nausea, vomiting","Chronic case of Gastroenteritis. Inflammation of the stomach and intestines, often called stomach flu. Target demographic: General.",Over-the-counter medication may help.
839,Insomnia,Mental Health,Chronic,Adult,"difficulty falling asleep, waking up frequently, daytime tiredness",Chronic case of Insomnia. A sleep disorder characterized by persistent problems falling and staying asleep. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
840,Constipation,Digestive,Acute,Adult,"infrequent bowel movements, hard stools, straining",Acute case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Adult.,Consult a doctor if symptoms persist for more than 48 hours.
841,Indigestion,Digestive,Mild,General,"upper abdominal pain,  bloating",Mild case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
842,Sinusitis,Respiratory,Mild,General,"facial pain,  thick nasal discharge",Mild case of Sinusitis. Inflammation or swelling of the tissue lining the sinuses. Target demographic: General.,Monitor symptoms closely.
843,Cold Sore,Skin,Chronic,Child,"tingling, blisters on lip, pain, itching",Chronic case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Child.,Over-the-counter medication may help.
844,Pink Eye,Eyes,Moderate,Male,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
845,Indigestion,Digestive,Moderate,Male,"upper abdominal pain, bloating, belching, nausea",Moderate case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Male.,Home remedies can alleviate symptoms.
846,Indigestion,Digestive,Moderate,Male,"upper abdominal pain, bloating, belching, nausea",Moderate case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Male.,Prescription medication might be required.
847,Nosebleed,General,Severe,Child,"bleeding from nose, dry nasal membranes, fatigue, dehydration","Severe case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Child.",Consult a doctor if symptoms persist for more than 48 hours.
848,Asthma,Respiratory,Severe,Adult,"wheezing, shortness of breath, chest tightness, coughing, fatigue, dehydration",Severe case of Asthma. A condition in which airways narrow and swell and may produce extra mucus. Target demographic: Adult.,Avoid triggers like spicy food or allergens.
849,Muscle Strain,Musculoskeletal,Moderate,Child,"sudden pain, swelling, muscle weakness, bruising",Moderate case of Muscle Strain. Damage to a muscle or its attaching tendons. Target demographic: Child.,Home remedies can alleviate symptoms.
850,Migraine,Neurological,Acute,Child,"severe headache, nausea, sensitivity to light, blurred vision",Acute case of Migraine. A neurological condition characterized by intense headaches. Target demographic: Child.,Rest and hydration recommended.
851,Tennis Elbow,Musculoskeletal,Chronic,Female,"pain on outer elbow, weak grip, burning sensation","Chronic case of Tennis Elbow. Painful condition caused by overuse of arm, forearm, and hand muscles. Target demographic: Female.",Consult a doctor if symptoms persist for more than 48 hours.
852,Pink Eye,Eyes,Moderate,Female,"redness, itching, discharge, tearing",Moderate case of Pink Eye. Inflammation or infection of the transparent membrane lining the eyelid. Target demographic: Female.,Home remedies can alleviate symptoms.
853,Constipation,Digestive,Chronic,Elderly,"infrequent bowel movements, hard stools, straining",Chronic case of Constipation. Infrequent bowel movements or difficult passage of stools. Target demographic: Elderly.,Monitor symptoms closely.
854,Cold Sore,Skin,Acute,Male,"tingling, blisters on lip, pain, itching",Acute case of Cold Sore. A group of fluid-filled blisters caused by the herpes simplex virus. Target demographic: Male.,Consult a doctor if symptoms persist for more than 48 hours.
855,Heartburn,Digestive,Severe,Male,"burning pain in chest, sour taste in mouth, pain worsening when lying down, fatigue, dehydration","Severe case of Heartburn. A burning sensation in the chest, just behind the breastbone. Target demographic: Male.",Seek immediate medical attention.
856,Osteoarthritis,Musculoskeletal,Severe,General,"joint pain, stiffness, tenderness, loss of flexibility, fatigue, dehydration","Severe case of Osteoarthritis. The most common form of arthritis, caused by wear and tear of cartilage. Target demographic: General.",Rest and hydration recommended.
857,Type 2 Diabetes,Metabolic,Moderate,General,"increased thirst, frequent urination, hunger, fatigue",Moderate case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: General.,Avoid triggers like spicy food or allergens.
858,Allergic Rhinitis,Immune,Chronic,Elderly,"sneezing, runny nose, itchy eyes, congestion",Chronic case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Rest and hydration recommended.
859,Gingivitis,Dental,Acute,General,"swollen gums, bleeding gums, bad breath, receding gums",Acute case of Gingivitis. A common and mild form of gum disease that causes irritation. Target demographic: General.,Consult a doctor if symptoms persist for more than 48 hours.
860,Nosebleed,General,Chronic,Elderly,"bleeding from nose, dry nasal membranes","Chronic case of Nosebleed. Bleeding from the inside of the nose, common in dry climates. Target demographic: Elderly.",Avoid triggers like spicy food or allergens.
861,Allergic Rhinitis,Immune,Mild,Elderly,"sneezing,  runny nose",Mild case of Allergic Rhinitis. An allergic response to allergens like pollen or dust. Target demographic: Elderly.,Seek immediate medical attention.
862,Indigestion,Digestive,Mild,Female,"upper abdominal pain,  bloating",Mild case of Indigestion. Discomfort in your upper abdomen often caused by eating too much or too fast. Target demographic: Female.,Consult a doctor if symptoms persist for more than 48 hours.
863,Type 2 Diabetes,Metabolic,Acute,Female,"increased thirst, frequent urination, hunger, fatigue",Acute case of Type 2 Diabetes. A chronic condition that affects the way the body processes blood sugar. Target demographic: Female.,Over-the-counter medication may help.
